"text","intent","role","persona","style","note"
"em là sinh viên muốn phòng dưới 2tr5 gần IUH","SEARCH_ROOM","GUEST","student_budget","casual","student giá rẻ gần trường"
"tìm phòng sinh viên khoảng 2 triệu ở Gò Vấp","SEARCH_ROOM","GUEST","student_budget","formal","student theo quận"
"phòng 2 củ có gác gần đại học công nghiệp không","SEARCH_ROOM","GUEST","student_budget","slang","student tiếng lóng"
"kiếm trọ rẻ cho 2 đứa ở ghép dưới 3 triệu","SEARCH_ROOM","GUEST","student_budget","slang","ở ghép sinh viên"
"tìm phòng gần trường có máy lạnh tầm 3 triệu","SEARCH_ROOM","GUEST","student_budget","casual","student tiện ích cơ bản"
"phong sinh vien duoi 2500000 gan iuh","SEARCH_ROOM","GUEST","student_budget","no_accent","student không dấu"
"có phòng nào cho sinh viên năm nhất giá mềm không","SEARCH_ROOM","GUEST","student_budget","formal","student năm nhất"
"tìm phòng studio cho sinh viên ở một mình","SEARCH_ROOM","TENANT","student_budget","formal","tenant muốn đổi phòng"
"tôi cần phòng yên tĩnh để làm việc online dưới 5 triệu","SEARCH_ROOM","GUEST","worker_near_company","formal","worker cần yên tĩnh"
"tìm phòng gần khu văn phòng Tân Bình có chỗ để xe","SEARCH_ROOM","GUEST","worker_near_company","formal","worker gần công ty"
"phòng gần công ty, về trễ được, an ninh tốt","SEARCH_ROOM","GUEST","worker_near_company","casual","worker giờ giấc linh hoạt"
"mình cần phòng có thang máy và wifi ổn định","SEARCH_ROOM","TENANT","worker_near_company","casual","worker tiện ích làm việc"
"tìm phòng 1 người ở gần khu công nghệ cao Thủ Đức","SEARCH_ROOM","GUEST","worker_near_company","formal","worker khu công nghệ cao"
"có phòng nào phù hợp cho vợ chồng trẻ không","SEARCH_ROOM","GUEST","family_safety","formal","gia đình trẻ"
"tìm phòng rộng cho 2 người có wc riêng","SEARCH_ROOM","GUEST","family_safety","formal","gia đình cần diện tích"
"phòng an ninh tốt gần chợ và trường mầm non","SEARCH_ROOM","GUEST","family_safety","formal","gia đình ưu tiên an toàn"
"cần phòng có ban công thoáng cho gia đình nhỏ","SEARCH_ROOM","TENANT","family_safety","casual","gia đình ưu tiên thông thoáng"
"tìm phòng có nội thất cơ bản cho 2 vợ chồng","SEARCH_ROOM","GUEST","family_safety","formal","gia đình nội thất cơ bản"
"tìm phòng yên tĩnh vì tôi làm ca đêm","SEARCH_ROOM","GUEST","night_shift_quiet","formal","ca đêm cần yên tĩnh"
"có phòng nào cách âm ổn để ngủ ban ngày không","SEARCH_ROOM","GUEST","night_shift_quiet","casual","ca đêm ngủ ban ngày"
